AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2017;12-301010;COLCA;  MUNICIPALIDAD DISTRITAL DE COLCA;HUANCAYO;JUNIN;120112;5.44;58018.07;70.66;0.47;967.70;1.00;50.00;1017.00;87236.95
2017;06-301255;CARABAYLLO;  MUNICIPALIDAD DISTRITAL DE CARABAYLLO;LIMA;LIMA;150106;9.45;199304.34;79.77;0.66;1277.26;1.00;74.41;333045.00;346494.14
2017;18-301267;LURIGANCHO;  MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA);LIMA;LIMA;150118;9.50;194912.70;80.34;0.68;1348.43;1.00;74.78;240814.00;320852.57
2017;19-301268;LURIN;  MUNICIPALIDAD DISTRITAL DE LURIN;LIMA;LIMA;150119;9.52;106091.83;79.70;0.69;1468.89;1.00;71.26;89195.00;204530.20
2017;23-301272;PACHACAMAC;  MUNICIPALIDAD DISTRITAL DE PACHACAMAC;LIMA;LIMA;150123;8.79;139604.64;77.99;0.65;1304.01;1.00;71.17;110071.00;232943.85
2017;43-301292;VILLA MARIA DEL TRIUNFO;  MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO;LIMA;LIMA;150143;9.38;507524.53;81.49;0.69;1421.43;1.00;74.19;398433.00;1041501.92
2017;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;6.62;5959367.34;74.54;0.50;817.10;1.00;70.27;2366.00;8126905.91
2017;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;10.15;11398053.28;76.40;0.70;1561.91;1.00;71.48;6198.00;19863899.64
2017;04-301504;HUAYLLAY;  MUNICIPALIDAD DISTRITAL DE HUAYLLAY;PASCO;PASCO;190104;10.16;3570429.37;68.02;0.56;924.63;1.00;81.73;9577.00;6380448.21
2017;08-301508;SAN FRANCISCO DE ASIS DE YARUSYACAN;  MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE ASIS DE YARUSYACAN;PASCO;PASCO;190108;8.65;3679182.79;73.06;0.58;982.59;1.00;81.72;4459.00;6229273.02
2017;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;10.01;1281425.58;76.71;0.54;705.24;1.00;79.44;12663.00;2445269.96
2017;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;10.36;489702.01;78.64;0.59;847.84;1.00;84.13;6755.00;2236660.41
2017;13-301513;YANACANCHA;  MUNICIPALIDAD DISTRITAL DE YANACANCHA;PASCO;PASCO;190113;11.08;2056445.92;78.01;0.60;855.40;1.00;79.15;29192.00;3386790.28
2017;01-301701;MOYOBAMBA;  MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;MOYOBAMBA;SAN MARTIN;220101;7.49;36255.05;72.91;0.52;917.69;1.00;57.52;76325.00;45253.55
2017;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;8.91;3028863.59;76.24;0.56;959.66;1.00;62.03;1980.00;4791524.56
2017;05-301808;SAN JACINTO;  MUNICIPALIDAD DISTRITAL DE SAN JACINTO;TUMBES;TUMBES;240105;7.84;1998.66;79.30;0.55;862.05;1.00;70.74;8512.00;1293394.50
2018;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;5.64;3780118.97;83.73;0.45;618.56;1.00;58.63;4814.00;4581898.10
2018;19-300349;SAN JUAN DE TARUCANI;  MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;AREQUIPA;AREQUIPA;40119;5.46;1543503.83;86.55;0.52;788.81;1.00;74.13;1386.51;2498119.11
2018;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;40124;10.01;21342440.01;83.24;0.67;1162.61;1.00;78.57;14151.01;30317233.58
2018;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.95;17567840.60;82.06;0.65;1168.33;1.00;71.97;1323.07;63214606.68
2018;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;40128;8.42;22940510.74;79.11;0.61;1072.34;1.00;78.10;33576.18;34908559.70
2018;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.09;4843440.47;72.19;0.57;970.63;1.00;71.25;220250.94;8114869.39
2018;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;90106;5.77;297029.62;65.05;0.44;845.03;1.00;50.95;1887.94;646835.28
2018;03-300887;CHINCHAO;  MUNICIPALIDAD DISTRITAL DE CHINCHAO;HUANUCO;HUANUCO;100103;3.52;94570.75;80.16;0.31;364.17;1.00;45.94;13225.67;155503.61
2018;12-301010;COLCA;  MUNICIPALIDAD DISTRITAL DE COLCA;HUANCAYO;JUNIN;120112;5.34;126671.03;70.72;0.48;1060.10;1.00;48.83;1024.02;162968.87
